name,price
ASUS ProArt Display 240Hz OLED 27-inch 4K,175
ASUS ProArt Display 27-inch 4K,1095
ASUS ProArt Display 27-inch 4K 144Hz IPS,1064
ASUS ProArt Display 27-inch 4K HDR400,499
ASUS ProArt Display 32-inch Curved,798
ASUS ProArt Display 34-inch Ultrawide,199
ASUS ProArt Display 34-inch Ultrawide 240Hz OLED,264
ASUS ProArt Display HDR400,504
ASUS ProArt Display HDR400 240Hz OLED,266
ASUS ROG Swift 240Hz OLED,1250
ASUS ROG Swift 27-inch 4K,772
ASUS ROG Swift 27-inch 4K 240Hz OLED,753
ASUS ROG Swift 32-inch Curved HDR400,767
ASUS ROG Swift HDR400,160
ASUS ROG Zephyrus G14 16GB RAM,2834
ASUS ROG Zephyrus G14 1TB SSD,958
ASUS ROG Zephyrus G14 32GB RAM,882
ASUS ROG Zephyrus G14 32GB RAM M3,848
ASUS ROG Zephyrus G14 M3 Pro,2850
ASUS TUF Gaming 144Hz IPS,1180
ASUS TUF Gaming 144Hz IPS 240Hz OLED,627
ASUS TUF Gaming 144Hz IPS HDR400,1012
ASUS TUF Gaming 27-inch 4K 240Hz OLED,882
ASUS TUF Gaming 34-inch Ultrawide,275
ASUS TUF Gaming 34-inch Ultrawide 240Hz OLED,272
ASUS TUF Gaming HDR400,339
ASUS TUF Gaming HDR400 240Hz OLED,461
ASUS Vivobook Pro 16GB RAM,2852
ASUS Vivobook Pro 16GB RAM 1TB SSD,2450
ASUS Vivobook Pro 1TB SSD M3,784
ASUS Vivobook Pro Core i7,2698
ASUS Vivobook Pro Core i7 M3 Pro,1325
ASUS Vivobook Pro M3 Pro,1012
ASUS Vivobook Pro M3 Pro 32GB RAM,1007
ASUS Vivobook Pro Ryzen 9 Core i7,1327
ASUS Vivobook Pro Ryzen 9 M3 Pro,1210
ASUS Zenbook 14 32GB RAM 16GB RAM,1242
ASUS Zenbook 14 Core i7,1316
ASUS Zenbook 14 M3 Pro,2407
ASUS Zenbook 14 Ryzen 7,2529
ASUS Zenbook 14 Ryzen 7 M3,1055
ASUS Zenbook 14 Ryzen 9,880
Acer Aspire 5 16GB RAM,881
Acer Aspire 5 1TB SSD,1173
Acer Aspire 5 1TB SSD Core i7,1553
Acer Aspire 5 32GB RAM,638
Acer Aspire 5 32GB RAM 1TB SSD,1922
Acer Aspire 5 Core i7,2371
Acer Aspire 5 Core i7 32GB RAM,2651
Acer Aspire 5 M3 Pro,1713
Acer Aspire 5 M3 Pro Core i9,1084
Acer Aspire 5 Ryzen 7 32GB RAM,897
Acer Aspire 5 Ryzen 7 M3,903
Acer Aspire 5 Ryzen 9 16GB RAM,731
Acer Aspire 5 Ryzen 9 Core i9,1835
Acer Predator Helios 16GB RAM 32GB RAM,2301
Acer Predator Helios 32GB RAM M3,2573
Acer Predator Helios 32GB RAM M3 Pro,2518
Acer Predator Helios Core i7,2369
Acer Predator Helios Core i9 M3 Pro,996
Acer Predator Helios M3,1664
Acer Predator Helios M3 Pro 32GB RAM,1969
Acer Predator Helios Ryzen 7 Core i9,1512
Acer Predator Helios Ryzen 9,2536
Acer Predator Helios Ryzen 9 32GB RAM,2429
Acer Swift Edge 16GB RAM Ryzen 9,720
Acer Swift Edge 1TB SSD M3 Pro,806
Acer Swift Edge Core i7,1355
Acer Swift Edge Core i7 32GB RAM,835
Acer Swift Edge Core i9,734
Acer Swift Edge Core i9 M3 Pro,1570
Acer Swift Edge Ryzen 7 Ryzen 9,1090
Amazon Echo Dot (5th Gen) 2-Pack Pro Bundle,643
Amazon Echo Dot (5th Gen) 4K Ultra HD,783
Amazon Echo Dot (5th Gen) 4K Ultra HD Wi-Fi Connected,601
Amazon Echo Dot (5th Gen) Battery Powered Wi-Fi Connected,151
Amazon Echo Dot (5th Gen) Wi-Fi Connected,212
Amazon Echo Dot (5th Gen) Wi-Fi Connected 4K Ultra HD,628
Amazon Echo Dot (5th Gen) Wi-Fi Connected Pro Bundle,492
Amazon Echo Show 8 2-Pack,388
Amazon Echo Show 8 2-Pack Pro Bundle,335
Amazon Echo Show 8 4K Ultra HD Smart,705
Amazon Echo Show 8 Battery Powered,660
Amazon Echo Show 8 Pro Bundle,394
Amazon Echo Show 8 Pro Bundle Smart,283
Amazon Echo Show 8 Smart,473
Amazon Fire TV Stick 4K 2-Pack,360
Amazon Fire TV Stick 4K 4K Ultra HD Smart,151
Amazon Fire TV Stick 4K Battery Powered,573
Amazon Fire TV Stick 4K Battery Powered 4K Ultra HD,192
Amazon Fire TV Stick 4K Smart,303
Amazon Fire TV Stick 4K Smart 4K Ultra HD,300
Amazon Fire TV Stick 4K Smart Wi-Fi Connected,272
Amazon Fire TV Stick 4K Wi-Fi Connected,593
Anker 737 Power Bank 1TB,70
Anker 737 Power Bank 1TB 2TB,294
